Title,Year,Rating,Content Rating
 The Shawshank Redemption,1994,9.3,15
 The Godfather,1972,9.2,15
 The Dark Knight,2008,9,12A
 The Godfather Part II,1974,9,X
 12 Angry Men,1957,9,U
 The Lord of the Rings: The Return of the King,2003,9,12A
 Schindler's List,1993,9,15
 Pulp Fiction,1994,8.9,18
 The Lord of the Rings: The Fellowship of the Ring,2001,8.9,PG
" The Good, the Bad and the Ugly",1966,8.8,18
 Forrest Gump,1994,8.8,12
 The Lord of the Rings: The Two Towers,2002,8.8,12A
 Fight Club,1999,8.8,15
 Inception,2010,8.8,12A
 Star Wars: Episode V - The Empire Strikes Back,1980,8.7,U
 The Matrix,1999,8.7,15
 GoodFellas,1990,8.7,18
 One Flew Over the Cuckoo's Nest,1975,8.7,X
 Interstellar,2014,8.7,12A
 Seven,1995,8.6,18
 It's a Wonderful Life,1946,8.6,U
 Seven Samurai,1954,8.6,PG
 The Silence of the Lambs,1991,8.6,18
 Saving Private Ryan,1998,8.6,15
 City of God,2002,8.6,18
 The Green Mile,1999,8.6,18
 Life Is Beautiful,1997,8.6,PG
 Terminator 2: Judgment Day,1991,8.6,15
 Star Wars: Episode IV - A New Hope,1977,8.6,U
 Back to the Future,1985,8.5,PG
 Spirited Away,2001,8.6,PG
 The Pianist,2002,8.5,15
 Gladiator,2000,8.5,15
 Parasite,2019,8.5,15
 Psycho,1960,8.5,15
 The Lion King,1994,8.5,U
 Grave of the Fireflies,1988,8.5,12A
 The Departed,2006,8.5,18
 Whiplash,2014,8.5,15
 Harakiri,1962,8.6,X
 American History X,1998,8.5,18
 The Prestige,2006,8.5,12A
 Leon,1994,8.5,18
 Spider-Man: Across the Spider-Verse,2023,8.5,PG
 Casablanca,1942,8.5,U
 The Usual Suspects,1995,8.5,18
 Untouchable,2011,8.5,15
 Cinema Paradiso,1988,8.5,PG
 Modern Times,1936,8.5,U
 Alien,1979,8.5,X
 Rear Window,1954,8.5,PG
 Once Upon a Time in the West,1968,8.5,12
 Django Unchained,2012,8.5,18
 City Lights,1931,8.5,U
 Apocalypse Now,1979,8.4,X
 Dune: Part Two,2024,8.5,12A
 Memento,2000,8.4,15
 WALL·E,2008,8.4,U
 Raiders of the Lost Ark,1981,8.4,PG
 The Lives of Others,2006,8.4,15
 Avengers: Infinity War,2018,8.4,12A
 Sunset Blvd,1950,8.4,PG
 Spider-Man: Into the Spider-Verse,2018,8.4,PG
 Paths of Glory,1957,8.4,PG
 Witness for the Prosecution,1957,8.4,U
 The Shining,1980,8.4,X
 The Great Dictator,1940,8.4,PG
 12th Fail,2023,8.8,12A
 Aliens,1986,8.4,18
 Inglourious Basterds,2009,8.4,18
 The Dark Knight Rises,2012,8.4,12A
 Coco,2017,8.4,PG
 Amadeus,1984,8.4,PG
 Toy Story,1995,8.3,PG
 Avengers: Endgame,2019,8.4,12A
 Good Will Hunting,1997,8.3,15
